"確定病名","發病年份","縣市","性別","是否為境外移入","年齡層","發病週別.x","確定病例數.x","發病週別.y","確定病例數.y"
"嚴重特殊傳染性肺炎","2020","空值","F","是","40-44","14",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","45-49","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","45-49","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","45-49","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","45-49","22",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","45-49","5",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","5-9","12",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","13",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","21",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","4",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","50-54","5",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","11",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","13",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","2",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","55-59","4",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","12",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","13",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","14",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","15",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","60-64","32",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","13",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","15",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","65-69","8",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","70+","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","70+","13",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","70+","29",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","70+","4",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","F","是","70+","9",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","15-19","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","15-19","12",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","15-19","13",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","15-19","33",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","11",7,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","12",13,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","13",7,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","14",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","16",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","17",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","19",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","20",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","5",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","20-24","6",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","10",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","11",5,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","12",5,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","13",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","14",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","15",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","16",6,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","17",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","25-29","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","10",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","11",9,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","12",9,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","13",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","16",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","17",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","18",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","30-34","9",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","10",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","12",7,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","16",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","25",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","35-39","29",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","4","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","12",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","13",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","16",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","18",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","28",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","29",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","32",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","40-44","4",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","45-49","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","45-49","12",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","45-49","13",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","45-49","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","45-49","6",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","12",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","13",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","25",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","29",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","32",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","4",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","50-54","6",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","11",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","12",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","13",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","21",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","26",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","27",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","55-59","4",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","11",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","12",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","13",3,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","14",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","23",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","32",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","60-64","33",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","11",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","12",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","13",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","14",2,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","15",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","25",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","65-69","30",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","70+","10",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","70+","12",4,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","70+","14",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","70+","28",1,NA,NA
"嚴重特殊傳染性肺炎","2020","空值","M","是","70+","31",1,NA,NA
"嚴重特殊傳染性肺炎","2020","苗栗縣","F","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","苗栗縣","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","苗栗縣","M","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","雲林縣","F","是","40-44",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","雲林縣","F","是","50-54",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","雲林縣","F","是","70+",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","雲林縣","M","是","20-24",NA,NA,"19",1
"嚴重特殊傳染性肺炎","2020","雲林縣","M","是","25-29",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","雲林縣","M","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","15-19",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","15-19",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","25-29",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","25-29",NA,NA,"12",2
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","25-29",NA,NA,"19",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","30-34",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","35-39",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","35-39",NA,NA,"15",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","35-39",NA,NA,"18",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","35-39",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","40-44",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","45-49",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","55-59",NA,NA,"11",2
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","55-59",NA,NA,"2",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","60-64",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","高雄市","F","是","70+",NA,NA,"29",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","15-19",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"13",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"17",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","20-24",NA,NA,"19",2
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","25-29",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","25-29",NA,NA,"16",2
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","25-29",NA,NA,"17",2
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","30-34",NA,NA,"11",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","30-34",NA,NA,"12",3
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","30-34",NA,NA,"13",2
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","30-34",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","30-34",NA,NA,"17",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","35-39",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","35-39",NA,NA,"16",3
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","40-44",NA,NA,"16",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","40-44",NA,NA,"18",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","55-59",NA,NA,"27",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","55-59",NA,NA,"4",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","60-64",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","70+",NA,NA,"12",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","70+",NA,NA,"14",1
"嚴重特殊傳染性肺炎","2020","高雄市","M","是","70+",NA,NA,"31",1
