"確定病名","發病年份","發病週別","縣市","性別","是否為境外移入","年齡層","確定病例數","鄉鎮"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","35-39",14,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",4,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",1,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",1,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",3,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","40-44",23,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",2,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",3,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",2,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",2,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","45-49",35,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",4,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",1,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",2,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","50-54",56,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",3,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",2,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",1,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",1,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","55-59",48,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","5-9",1,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",3,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",3,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",3,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",1,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",2,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",1,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",2,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","60-64",19,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",1,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",2,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",2,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",2,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","65-69",10,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",2,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",3,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","F","否","70+",7,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","0",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","10-14",1,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","10-14",2,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","15-19",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","15-19",1,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","2",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","20-24",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","20-24",1,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","25-29",1,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","25-29",3,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","30-34",5,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",2,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",2,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","35-39",2,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","4",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","4",1,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",2,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",1,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",4,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","40-44",7,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","45-49",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","45-49",1,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","45-49",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","45-49",9,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",3,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",4,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",4,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","50-54",13,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",1,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",2,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",2,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",1,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",2,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","55-59",14,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",5,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",5,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",4,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",2,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",1,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","60-64",18,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",3,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",1,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",2,"中山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",2,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",1,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",5,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",3,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",2,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",2,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","65-69",24,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",2,"士林區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",4,"大同區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",4,"大安區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",5,"中正區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",3,"內湖區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",9,"文山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",1,"北投區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",2,"松山區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",5,"信義區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",3,"南港區"
"嚴重特殊傳染性肺炎","2021","19","台北市","M","否","70+",15,"萬華區"
"嚴重特殊傳染性肺炎","2021","19","台南市","F","否","40-44",1,"北區"
"嚴重特殊傳染性肺炎","2021","19","台南市","F","否","5-9",1,"北區"
"嚴重特殊傳染性肺炎","2021","19","台南市","F","否","70+",1,"新營區"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","15-19",1,"羅東鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","20-24",1,"五結鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","30-34",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","30-34",1,"頭城鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","35-39",1,"冬山鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","35-39",1,"羅東鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","50-54",1,"頭城鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","55-59",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","55-59",1,"羅東鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","60-64",2,"五結鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","60-64",1,"礁溪鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","F","否","60-64",1,"蘇澳鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","2",1,"羅東鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","25-29",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","30-34",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","30-34",1,"礁溪鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","35-39",1,"五結鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","35-39",1,"壯圍鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","45-49",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","50-54",1,"頭城鎮"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","55-59",1,"五結鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","5-9",1,"冬山鄉"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","60-64",1,"宜蘭市"
"嚴重特殊傳染性肺炎","2021","19","宜蘭縣","M","否","70+",1,"冬山鄉"
"嚴重特殊傳染性肺炎","2021","19","空值","F","是","25-29",5,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","F","是","30-34",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","F","是","35-39",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","F","是","55-59",1,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","15-19",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","20-24",5,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","25-29",11,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","30-34",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","35-39",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","40-44",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","55-59",2,"空值"
"嚴重特殊傳染性肺炎","2021","19","空值","M","是","60-64",1,"空值"
"嚴重特殊傳染性肺炎","2021","19","南投縣","F","否","20-24",1,"草屯鎮"
"嚴重特殊傳染性肺炎","2021","19","南投縣","F","否","45-49",1,"草屯鎮"
"嚴重特殊傳染性肺炎","2021","19","南投縣","F","否","60-64",1,"草屯鎮"
"嚴重特殊傳染性肺炎","2021","19","屏東縣","M","否","60-64",1,"鹽埔鄉"
"嚴重特殊傳染性肺炎","2021","19","苗栗縣","M","否","45-49",1,"後龍鎮"
"嚴重特殊傳染性肺炎","2021","19","苗栗縣","M","否","60-64",1,"後龍鎮"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","10-14",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","20-24",1,"中壢區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","25-29",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","30-34",2,"平鎮區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","35-39",2,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","35-39",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","35-39",2,"蘆竹區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","40-44",1,"平鎮區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","40-44",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","50-54",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","55-59",2,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","5-9",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","5-9",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","60-64",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","60-64",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","60-64",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","65-69",1,"八德區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","F","否","70+",1,"八德區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","10-14",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","20-24",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","25-29",1,"中壢區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","35-39",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","35-39",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","40-44",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","45-49",2,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","50-54",2,"八德區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","50-54",1,"中壢區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","50-54",2,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","55-59",1,"蘆竹區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","60-64",1,"中壢區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","60-64",1,"楊梅區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","60-64",1,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","65-69",1,"平鎮區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","65-69",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","65-69",1,"龍潭區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","65-69",2,"龜山區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","70+",1,"八德區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","70+",1,"大溪區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","70+",1,"平鎮區"
"嚴重特殊傳染性肺炎","2021","19","桃園市","M","否","70+",1,"桃園區"
"嚴重特殊傳染性肺炎","2021","19","高雄市","F","否","15-19",1,"鼓山區"
"嚴重特殊傳染性肺炎","2021","19","高雄市","F","否","25-29",1,"小港區"
"嚴重特殊傳染性肺炎","2021","19","高雄市","F","否","30-34",1,"小港區"
"嚴重特殊傳染性肺炎","2021","19","高雄市","M","否","50-54",1,"前金區"
"嚴重特殊傳染性肺炎","2021","19","高雄市","M","否","65-69",1,"大寮區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","0",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","20-24",1,"七堵區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","30-34",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","40-44",1,"仁愛區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","45-49",1,"安樂區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","50-54",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","50-54",1,"信義區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","55-59",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","F","否","70+",1,"仁愛區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","M","否","15-19",1,"安樂區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","M","否","50-54",1,"中正區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","M","否","55-59",1,"中山區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","M","否","60-64",1,"仁愛區"
"嚴重特殊傳染性肺炎","2021","19","基隆市","M","否","60-64",1,"安樂區"
"嚴重特殊傳染性肺炎","2021","19","雲林縣","M","否","65-69",1,"林內鄉"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","0",1,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","1",1,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","1",2,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","10-14",1,"土城區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","15-19",1,"八里區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","15-19",2,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","15-19",1,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","15-19",1,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","15-19",2,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",2,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",1,"三峽區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",3,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",1,"淡水區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",1,"新莊區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","20-24",1,"樹林區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"土城區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",3,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"淡水區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","25-29",1,"蘆洲區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",1,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",2,"五股區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",1,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",4,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",1,"泰山區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",1,"深坑區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",1,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","30-34",2,"蘆洲區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",2,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",3,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",4,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",10,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",1,"淡水區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","35-39",4,"新莊區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","4",1,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",2,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",1,"土城區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",9,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",1,"五股區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",1,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",1,"林口區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",5,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",3,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",1,"新莊區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","40-44",2,"蘆洲區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"八里區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",4,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",3,"土城區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",11,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"汐止區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",11,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"淡水區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",3,"新莊區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"樹林區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","45-49",1,"蘆洲區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",7,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",5,"土城區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",6,"中和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",1,"永和區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",1,"石碇區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",1,"汐止區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",22,"板橋區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",2,"淡水區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",1,"新店區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",3,"新莊區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",2,"萬里區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",1,"樹林區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","50-54",4,"蘆洲區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","55-59",5,"三重區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","55-59",1,"三峽區"
"嚴重特殊傳染性肺炎","2021","19","新北市","F","否","55-59",2,"土城區"
