"確定病名","個案研判日","縣市","鄉鎮","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",28
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",6
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",4
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/16","空值","空值","女","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",5
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",3
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",28
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",6
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",4
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",5
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",3
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",28
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",6
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",4
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",28
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/17","空值","空值","女","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",28
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",28
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","女","是","50-54",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",28
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/19","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",2
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",2
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",2
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",5
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",2
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",3
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",28
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",6
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",2
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",4
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/20","空值","空值","女","是","30-34",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",28
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","25-29",2
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",28
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/21","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",5
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",2
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",28
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",6
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",4
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/25","空值","空值","男","是","35-39",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",2
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
"嚴重特殊傳染性肺炎","2020/09/28","空值","空值","男","是","40-44",1
